Pakiet,Kategoria,Materiał,Typ,Producent,Model,SKU,Cechy,Cena zakup,Cena detal brutto,Cena detal netto,Cena detal / m2,Link,Photo,50,m2
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Oltens,Zestaw Oltens Gota bateria podtynkowa z deszczownicą 22 cm Atran i kompletem prysznicowym Sog chrom połysk 36616100,,,,"1569,70","1276,18","25,52","https://www.lazienkaplus.pl/pl/zestaw-oltens-gota-bateria-podtynkowa-z-deszczownica-22-cm-atran-i-kompletem-prysznicowym-sog-chrom-polysk-36616100,657926,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Omnires,Omnires Y bateria wannowo-prysznicowa podtynkowa chrom Y1237/1CR,,,,"1736,95","1412,15","28,24","https://www.lazienkaplus.pl/pl/omnires-y-bateria-wannowo-prysznicowa-podtynkowa-chrom-y12371cr,557268,120,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,Oltens Molle bateria wannowo-prysznicowa podtynkowa chrom 34105100,,,,"1599,95","1300,77","26,02","https://www.lazienkaplus.pl/pl/oltens-molle-bateria-wannowo-prysznicowa-podtynkowa-4-otworowa-chrom-34105100,575748,120,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Grohe,,,,,,,,"https://www.lazienkaplus.pl/pl/grohe-plus-bateria-wannowo-prysznicowa-scienna-chrom-33547003,528635,120,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,Oltens Hadsel bateria wannowo-prysznicowa wolnostojąca grafit 34303400,,,,"2999,95","2438,98","48,78","https://www.lazienkaplus.pl/pl/oltens-hadsel-bateria-wannowo-prysznicowa-wolnostojaca-grafit-34303400,674261,120,i/",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,,Oltens Hadsel bateria wannowo-prysznicowa wolnostojąca czarny mat 34303300,,,,"2699,95","2195,08","43,90","https://www.lazienkaplus.pl/pl/oltens-hadsel-bateria-wannowo-prysznicowa-wolnostojaca-czarny-mat-34303300,674218,120,i/",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,Oltens Hadsel bateria wannowo-prysznicowa wolnostojąca chrom 34303100,,,,"2199,95","1788,58","35,77","https://www.lazienkaplus.pl/pl/oltens-hadsel-bateria-wannowo-prysznicowa-wolnostojaca-chrom-34303100,674217,120,i/",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,Oltens Hadsel bateria wannowo-prysznicowa podtynkowa czarny mat 34109300,,,,"1599,95","1300,77","26,02","https://www.lazienkaplus.pl/pl/oltens-hadsel-bateria-wannowo-prysznicowa-podtynkowa-czarny-mat-34109300,674259,120,i",,,
,,,,,Oltens Molle bateria wannowo-prysznicowa wolnostojąca chrom 34300100,,,,"2299,95","1869,88","37,40","https://www.lazienkaplus.pl/pl/oltens-molle-bateria-wannowo-prysznicowa-kompletna-wolnostojaca-chrom-34300100,503770,120,i/",,,
,,,,,Oltens Molle bateria wannowo-prysznicowa wolnostojąca czarny mat 34300300,,,,"3199,95","2601,59","52,03","https://www.lazienkaplus.pl/pl/oltens-molle-bateria-wannowo-prysznicowa-kompletna-wolnostojaca-czarny-mat-34300300,525904,120,i/",,,
,,,,,Oltens Molle bateria wannowo-prysznicowa wolnostojąca złoty połysk 34300800,,,,"3199,95","2601,59","52,03","https://www.lazienkaplus.pl/pl/oltens-molle-bateria-wannowo-prysznicowa-kompletna-wolnostojaca-zloty-polysk-34300800,545275,120,i/",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Hansgrohe,,,,,,,,"https://www.lazienkaplus.pl/pl/hansgrohe-talis-e-bateria-wannowo-prysznicowa-4-otworowa-chrom-71748000,484619,120,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,,,,,,,,"https://www.lazienkaplus.pl/pl/oltens-hamnes-bateria-wannowo-prysznicowa-podtynkowa-4-otworowa-kompletna-czarny-mat-34107300,604582,120,i",,,
Budget,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Deante,Deante Tubo bateria umywalkowa stojąca chrom BUT_020M,,,,"175,00","142,28","2,85","https://www.lazienkaplus.pl/pl/deante-tubo-bateria-umywalkowa-stojaca-chrom-but_020m,616330,118,i",,,
Budget,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Parma bateria umywalkowa chrom PM7410CR,,,,"296,19","240,80","4,82","https://www.lazienkaplus.pl/pl/omnires-parma-bateria-umywalkowa-chrom-pm7410cr,493416,118,i",,,
Budget,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Cersanit,Cersanit Verso bateria umywalkowa stojąca chrom S951-404,,,,"217,30","176,67","3,53","https://www.lazienkaplus.pl/pl/cersanit-verso-bateria-umywalkowa-stojaca-chrom-s951-404,559001,118,i",,,
Budget,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Deante,Deante Neo Boro bateria umywalkowa stojąca chrom BMO026M,,,,"143,00","116,26","2,33","https://www.lazienkaplus.pl/pl/deante-neo-boro-bateria-umywalkowa-stojaca-chrom-bmo026m,527279,118,i",,,
Budget,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Deante,Deante Neo Lupo bateria umywalkowa stojąca stal BLU_F20K,,,,"207,00","168,29","3,37","https://www.lazienkaplus.pl/pl/deante-neo-lupo-bateria-umywalkowa-stojaca-stal-blu_f20k,631134,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Y bateria umywalkowa stojąca chrom Y1210NCR,,,,"425,00","345,53","6,91","https://www.lazienkaplus.pl/pl/omnires-y-bateria-umywalkowa-stojaca-chrom-y1210ncr,500949,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Y bateria umywalkowa stojąca chrom Y1212CCR,,,,"476,00","386,99","7,74","https://www.lazienkaplus.pl/pl/omnires-y-bateria-umywalkowa-stojaca-chrom-y1212ccr,474842,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Parma bateria umywalkowa chrom PM7410CR,,,,"306,00","248,78","4,98","https://www.lazienkaplus.pl/pl/omnires-parma-bateria-umywalkowa-chrom-pm7410cr,493416,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Sacramento bateria umywalkowa stojąca chrom SC2310CR,,,,"340,00","276,42","5,53","https://www.lazienkaplus.pl/pl/omnires-sacramento-bateria-umywalkowa-stojaca-chrom-sc2310cr,591162,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Slide bateria umywalkowa stojąca chrom SL7710CR,,,,"323,00","262,60","5,25","https://www.lazienkaplus.pl/pl/omnires-slide-bateria-umywalkowa-stojaca-chrom-sl7710cr,510935,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Grohe,Grohe Eurostyle New bateria umywalkowa chrom 23707003,,,,"459,91","373,91","7,48","https://www.lazienkaplus.pl/pl/grohe-eurostyle-new-bateria-umywalkowa-stojaca-chrom-23707003,488470,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Grohe,Grohe Start bateria umywalkowa stojąca QuickFix wysoka chrom 24203002,,,,"488,33","397,02","7,94","https://www.lazienkaplus.pl/pl/grohe-start-bateria-umywalkowa-stojaca-wysoka-chrom-24203002,580879,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Rebris S bateria umywalkowa stojąca chrom 72520000,,,,"373,54","303,69","6,07","https://www.lazienkaplus.pl/pl/hansgrohe-rebris-s-bateria-umywalkowa-stojaca-chrom-72520000,655281,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Vernis Blend bateria umywalkowa stojąca wysoka EcoSmart chrom 71552000,,,,"383,00","311,38","6,23","https://www.lazienkaplus.pl/pl/hansgrohe-vernis-blend-bateria-umywalkowa-stojaca-wysoka-ecosmart-chrom-71552000,579928,118,i",,,
Standart,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Vernis Shape bateria umywalkowa stojąca wysoka EcoSmart chrom 71591000,,,,"439,00","356,91","7,14","https://www.lazienkaplus.pl/pl/hansgrohe-vernis-shape-bateria-umywalkowa-stojaca-wysoka-ecosmart-chrom-71591000,580157,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Y bateria umywalkowa podtynkowa chrom Y1215HROCR,,,,"323,00","262,60","5,25","https://www.lazienkaplus.pl/pl/omnires-y-bateria-umywalkowa-podtynkowa-chrom-y1215hrocr,682479,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Fresh bateria umywalkowa podtynkowa chrom FR7115NCR,,,,"493,00","400,81","8,02","https://www.lazienkaplus.pl/pl/omnires-fresh-bateria-umywalkowa-podtynkowa-chrom-fr7115ncr,510451,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,,,,,,,,"https://www.lazienkaplus.pl/pl/omnires-y-bateria-umywalkowa-podtynkowa-chrom-y1215hcr,512919,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Baretti bateria umywalkowa podtynkowa chrom BA7815CR,,,,"485,00","394,31","7,89","https://www.lazienkaplus.pl/pl/omnires-baretti-bateria-umywalkowa-podtynkowa-chrom-ba7815cr,590543,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Slide bateria umywalkowa podtynkowa grafit SL7715GR,,,,"587,01","477,24","9,54","https://www.lazienkaplus.pl/pl/omnires-slide-bateria-umywalkowa-podtynkowa-grafit-sl7715gr,565573,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Omnires,Omnires Sacramento bateria umywalkowa podtynkowa chrom/biały SC2315CRB,,,,"655,00","532,52","10,65","https://www.lazienkaplus.pl/pl/omnires-sacramento-bateria-umywalkowa-podtynkowa-chrombialy-sc2315crb,593942,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Oltens,Oltens Molle bateria umywalkowa podtynkowa chrom 32100100,,,,"619,95","504,02","10,08","https://www.lazienkaplus.pl/pl/oltens-molle-bateria-umywalkowa-podtynkowa-kompletna-chrom-32100100,503765,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Oltens,Oltens Gulfoss bateria umywalkowa podtynkowa chrom 32102100,,,,"539,95","438,98","8,78","https://www.lazienkaplus.pl/pl/oltens-gulfoss-bateria-umywalkowa-podtynkowa-kompletna-chrom-32102100,503784,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Oltens,Oltens Jog bateria umywalkowa podtynkowa chrom 32103100,,,,"449,95","365,81","7,32","https://www.lazienkaplus.pl/pl/oltens-jog-bateria-umywalkowa-podtynkowa-kompletna-chrom-32103100,503793,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Oltens,,,,,,,,"https://www.lazienkaplus.pl/pl/oltens-vernal-bateria-umywalkowa-podtynkowa-kompletna-chrom-32104100,503801,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Oltens,Oltens Gota bateria umywalkowa podtynkowa chrom 32101100,,,,"619,95","504,02","10,08","https://www.lazienkaplus.pl/pl/oltens-gota-bateria-umywalkowa-podtynkowa-kompletna-chrom-32101100,503776,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Vernis Shape bateria umywalkowa podtynkowa EcoSmart chrom 71578000,,,,"483,22","392,86","7,86","https://www.lazienkaplus.pl/pl/hansgrohe-vernis-shape-bateria-umywalkowa-podtynkowa-ecosmart-chrom-71578000,580141,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Vivenis bateria umywalkowa podtynkowa chrom 75050000,,,,"846,90","688,54","13,77","https://www.lazienkaplus.pl/pl/hansgrohe-vivenis-bateria-umywalkowa-podtynkowa-chrom-75050000,571281,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,,,,,,,,"https://www.lazienkaplus.pl/pl/hansgrohe-talis-e-bateria-umywalkowa-podtynkowa-chrom-71732000,484442,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Hansgrohe,Hansgrohe Zesis S bateria umywalkowa podtynkowa chrom 74750000,,,,"724,98","589,41","11,79","https://www.lazienkaplus.pl/pl/hansgrohe-zesis-s-bateria-umywalkowa-podtynkowa-chrom-74750000,706835,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Grohe,,,,,,,,"https://www.lazienkaplus.pl/pl/grohe-eurostyle-cosmopolitan-bateria-umywalkowa-podtynkowa-2-otworowa-chrom-19571002,414154,118,i",,,
Lux,Sanitariat,Bateria umywalkowa,Bateria umywalkowa,Villeroy & Boch,,,,,,,,"https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-bateria-umywalkowa-podtynkowa-chrom-tvz10601000061,667281,118,i",,,
Budget,Sanitariat,Umywalki,Umywalka ścienna,Geberit,Geberit Selnova umywalka 45x37 cm półokrągła biała 500.324.01.7,,,,"195,98","159,33","3,19","https://www.lazienkaplus.pl/pl/geberit-selnova-umywalka-45x37-cm-polokragla-biala-500324017,634109,81,i",,,
Budget,Sanitariat,Umywalki,Umywalka ścienna-nablatowa,Geberit,Geberit Selnova Square umywalka 45x35 cm prostokątna ścienna-nablatowa biała 500.322.01.7,,,,"207,98","169,09","3,38","https://www.lazienkaplus.pl/pl/geberit-selnova-square-umywalka-45x35-cm-prostokatna-scienna-nablatowa-biala-500322017,634114,81,i",,,
Budget,Sanitariat,Umywalki,Umywalka wpuszczana,Geberit,Geberit Variform umywalka 48 cm wpuszczana okrągła biała 500.707.01.2,,,,"345,99","281,29","5,63","https://www.lazienkaplus.pl/pl/geberit-variform-umywalka-48-cm-wpuszczana-okragla-biala-500707012,633676,81,i",,,
Budget,Sanitariat,Umywalki,Umywalka wpuszczana,Cersanit,Cersanit Moduo umywalka 50x40 cm wpuszczana prostokątna biała K116-042,,,,"303,48","246,73","4,93","https://www.lazienkaplus.pl/pl/cersanit-moduo-umywalka-50x40-cm-wpuszczana-prostokatna-biala-k116-042,555332,81,i",,,
Standart,Sanitariat,Umywalki,,,,,,,,,,"https://www.lazienkaplus.pl/pl/oltens-tive-umywalka-61x40-cm-wpuszczana-owalna-z-powloka-smartclean-biala-40823000,626023,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka wpuszczana,Oltens,Oltens Tive umywalka 61x40 cm owalna wpuszczana biała 40323000,,,,"429,95","349,55","6,99","https://www.lazienkaplus.pl/pl/oltens-tive-umywalka-61x40-cm-wpuszczana-owalna-biala-40323000,626018,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka wpuszczana,Oltens,"Oltens Kolma umywalka 61x47,5 cm prostokątna wpuszczana biała 41208000",,,,"529,95","430,85","8,62","https://www.lazienkaplus.pl/pl/oltens-kolma-umywalka-61x475-cm-wpuszczana-prostokatna-biala-41208000,626017,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka wpuszczana,Geberit,Geberit Variform umywalka 55x45 cm wpuszczana prostokątna biała 500.741.01.2,,,,"399,99","325,20","6,50","https://www.lazienkaplus.pl/pl/geberit-variform-umywalka-55x45-cm-wpuszczana-prostokatna-biala-500741012,633252,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka wpuszczana,Geberit,Geberit Variform umywalka 60x40 cm wpuszczana owalna biała 500.730.01.2,,,,"455,99","370,72","7,41","https://www.lazienkaplus.pl/pl/geberit-variform-umywalka-60x40-cm-wpuszczana-owalna-biala-500730012,633167,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka wpuszczana,Geberit,Geberit Variform umywalka 55x40 cm wpuszczana prostokątna biała 500.739.01.2,,,,"448,99","365,03","7,30","https://www.lazienkaplus.pl/pl/geberit-variform-umywalka-55x40-cm-wpuszczana-prostokatna-biala-500739012,633816,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka podblatowa,Oltens,Oltens Gapa umywalka 56x41 cm podblatowa z powłoką SmartClean owalna biała 40604000,,,,"499,95","406,46","8,13","https://www.lazienkaplus.pl/pl/oltens-gapa-umywalka-56x41-cm-owalna-podblatowa-biala-40604000,669783,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka podblatowa,Oltens,"Oltens Drammen umywalka 48x36,5 cm prostokątna podblatowa biała 40106000",,,,"479,95","390,20","7,80","https://www.lazienkaplus.pl/pl/oltens-drammen-umywalka-48x365-cm-prostokatna-podblatowa-biala-40106000,669782,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka podblatowa,Oltens,Oltens Mana umywalka 46x38 cm podblatowa owalna z powłoką SmartClean biała 40600000,,,,"419,95","341,42","6,83","https://www.lazienkaplus.pl/pl/oltens-mana-umywalka-46x38-cm-podblatowa-owalna-z-powloka-smartclean-biala-40600000,508994,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Mesa umywalka 53x32 cm owalna nablatowa biała MESA530BP,,,,"423,00","343,90","6,88","https://www.lazienkaplus.pl/pl/omnires-mesa-umywalka-53x32-cm-nablatowa-owalna-bialy-polysk-mesa530bp,634903,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Garland umywalka 60x43 cm prostokątna nablatowa biała GARLAND600BP,,,,"504,00","409,76","8,20","https://www.lazienkaplus.pl/pl/omnires-garland-umywalka-60x43-cm-prostokatna-bialy-polysk-garland600bp,566266,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Atlanta umywalka 61x40 cm owalna nablatowa biała ATLANTA610BP,,,,"476,99","387,80","7,76","https://www.lazienkaplus.pl/pl/omnires-atlanta-umywalka-61x40-cm-nablatowa-owalna-bialy-polysk-atlanta610bp,637087,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Tulsa umywalka 36x36 cm okrągła nablatowa biała TULSA355BM,,,,"468,00","380,49","7,61","https://www.lazienkaplus.pl/pl/omnires-tulsa-umywalka-36-cm-nablatowa-okragla-bialy-mat-tulsa355bm,637083,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Corfu M+ umywalka 50x25 cm prostokątna ścienna-nablatowa biała CorfuBP,,,,"509,99","414,63","8,29","https://www.lazienkaplus.pl/pl/omnires-corfu-m-umywalka-50x25-cm-prostokatna-scienna-nablatowa-biala-corfubp,475730,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Oltens,Oltens Etne umywalka 40x33 cm owalna nablatowa biała 40313000,,,,"499,95","406,46","8,13","https://www.lazienkaplus.pl/pl/oltens-etne-umywalka-40x33-cm-nablatowa-owalna-biala-40313000,508776,81,i",,,
Standart,Sanitariat,Umywalki,Umywalka nablatowa,Oltens,Oltens Fossa umywalka 40x40 cm okrągła nablatowa biała 40302000,,,,"429,95","349,55","6,99","https://www.lazienkaplus.pl/pl/oltens-fossa-umywalka-40-cm-nablatowa-okragla-biala-40302000,503753,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Oltens,"Oltens Hamnes umywalka 60x42,5 cm nablatowa owalna z powłoką SmartClean biała 40815000",,,,"749,95","609,72","12,19","https://www.lazienkaplus.pl/pl/oltens-hamnes-umywalka-60x425-cm-nablatowa-owalna-z-powloka-smartclean-biala-40815000,508989,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Villeroy & Boch,Villeroy & Boch Collaro umywalka 56x36 cm nablatowa prostokątna CeramicPlus Weiss Alpin 4A2056R1,,,,"1330,35","1081,59","21,63","https://www.lazienkaplus.pl/pl/villeroy-boch-collaro-umywalka-56x36-cm-nablatowa-prostokatna-ceramicplus-weiss-alpin-4a2056r1,539139,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Villeroy & Boch,Villeroy & Boch Collaro umywalka 56x36 cm nablatowa owalna Weiss Alpin 4A195601,,,,"1024,11","832,61","16,65","https://www.lazienkaplus.pl/pl/villeroy-boch-collaro-umywalka-56x36-cm-nablatowa-owalna-weiss-alpin-4a195601,522021,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Villeroy & Boch,Villeroy & Boch Collaro umywalka 40x40 cm okrągła nablatowa biała 4A184001,,,,"1000,76","813,63","16,27","https://www.lazienkaplus.pl/pl/villeroy-boch-collaro-umywalka-40-cm-nablatowa-okragla-weiss-alpin-4a184001,522025,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Villeroy & Boch,"Villeroy & Boch Antao umywalka 40x39,5 cm nablatowa biała 4A7240R1",,,,"2090,99","1699,99","34,00","https://www.lazienkaplus.pl/pl/villeroy-boch-antao-umywalka-40x395-cm-nablatowa-asymetryczna-ceramicplus-weiss-alpin-4a7240r1,662744,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Shell M+ umywalka 60x35 cm owalna nablatowa biała SHELLUNBP,,,,"782,00","635,77","12,72","https://www.lazienkaplus.pl/pl/omnires-shell-m-umywalka-60x35-cm-owalna-biala-shellunbp,610296,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Shell M+ umywalka 60x35 cm owalna dune beige mat SHELLUNDB,,,,"1097,00","891,87","17,84","https://www.lazienkaplus.pl/pl/omnires-shell-m-umywalka-60x35-cm-owalna-dune-beige-mat-shellundb,700079,81,i/",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Ovo M+ umywalka 55x36 cm owalna nablatowa biała OVOUNBM,,,,"935,00","760,16","15,20","https://www.lazienkaplus.pl/pl/omnires-ovo-m-umywalka-55x36-cm-owalna-nablatowa-biala-ovounbm,585695,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Ovo M+ umywalka 55x36 cm owalna nablatowa szary/kamień OVOUNAG,,,,"1097,00","891,87","17,84","https://www.lazienkaplus.pl/pl/omnires-ovo-m-umywalka-55x36-cm-owalna-nablatowa-szarykamien-ovounag,591455,81,i/",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Ovo M+ umywalka 55x36 cm owalna nablatowa czarna OVOUNBLV,,,,"1097,00","891,87","17,84","https://www.lazienkaplus.pl/pl/omnires-ovo-m-umywalka-55x36-cm-owalna-nablatowa-czarna-ovounblv,591465,81,i/",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Ovo M+ umywalka 55x36 cm owalna nablatowa różowa OVOUNCO,,,,"1097,00","891,87","17,84","https://www.lazienkaplus.pl/pl/omnires-ovo-m-umywalka-55x36-cm-owalna-nablatowa-rozowa-ovounco,591466,81,i/",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires M+ umywalka 100x42 cm prostokątna ścienna-nablatowa biała THASOS1000BP,,,,"927,00","753,66","15,07","https://www.lazienkaplus.pl/pl/omnires-m-thasos-umywalka-100x42-cm-bialy-polysk-thasos1000bp,475822,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Cadence M+ umywalka 62x42 cm owalna nablatowa biała CADENCE620BP,,,,"842,00","684,55","13,69","https://www.lazienkaplus.pl/pl/omnires-cadence-m-umywalka-62x42-cm-owalna-nablatowa-biala-cadence620bp,566258,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Cadence M+ umywalka 42x42 cm okrągła nablatowa biała CADENCER420BP,,,,"842,00","684,55","13,69","https://www.lazienkaplus.pl/pl/omnires-cadence-m-umywalka-42x42-cm-okragla-nablatowa-biala-cadencer420bp,566254,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Omnires,Omnires Thasos M+ umywalka 70x42 cm prostokątna ścienna-nablatowa biała THASOS700ZPBP,,,,"757,00","615,45","12,31","https://www.lazienkaplus.pl/pl/omnires-thasos-m-umywalka-70x42-cm-nablatowascienna-bialy-polysk-thasos700zpbp,634904,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Grohe,Grohe Essence umywalka 60x40 cm nablatowa PureGuard biała 3960800H,,,,"1333,57","1084,20","21,68","https://www.lazienkaplus.pl/pl/grohe-essence-umywalka-60x40-cm-nablatowa-pureguard-biala-3960800h,526557,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Hansgrohe,Hansgrohe Xuniva Q umywalka 30 cm nablatowa SmartClean biały 61074450,,,,"918,99","747,15","14,94","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-q-umywalka-30-cm-nablatowa-smartclean-bialy-61074450,663978,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka nablatowa,Hansgrohe,Hansgrohe Xevolos E umywalka 50x48 cm nablatowa prostokątna SmartClean biały 61091450,,,,"1687,98","1372,34","27,45","https://www.lazienkaplus.pl/pl/hansgrohe-xevolos-e-umywalka-50x48-cm-nablatowa-prostokatna-smartclean-bialy-61091450,659839,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Hansgrohe,Hansgrohe Xuniva Q umywalka 55x45 cm wpuszczana w blat biały 60162450,,,,"792,56","644,36","12,89","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-q-umywalka-55x45-cm-wpuszczana-w-blat-bialy-60162450,660435,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Hansgrohe,Hansgrohe Xuniva S umywalka 40 cm wpuszczana okrągła SmartClean biały 61054450,,,,"837,98","681,28","13,63","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-s-umywalka-40-cm-wpuszczana-okragla-smartclean-bialy-61054450,664171,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Hansgrohe,Hansgrohe Xuniva D umywalka 55x40 cm wpuszczana w blat SmartClean biały 61058450,,,,"915,98","744,70","14,89","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-d-umywalka-55x40-cm-wpuszczana-w-blat-smartclean-bialy-61058450,660449,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Hansgrohe,Hansgrohe Xuniva U umywalka 55x45 cm wpuszczana SmartClean biały 61064450,,,,"1082,98","880,47","17,61","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-u-umywalka-55x45-cm-wpuszczana-smartclean-bialy-61064450,660378,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Hansgrohe,Hansgrohe Xuniva S umywalka 45 cm wpuszczana okrągła SmartClean biały 61056450,,,,"915,98","744,70","14,89","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-s-umywalka-45-cm-wpuszczana-okragla-smartclean-bialy-61056450,664174,81,i",,,
