Pakiet,Kategoria,Materiał,Typ,Producent,Model,SKU,Cechy,Cena zakup,Cena detal brutto,Cena detal netto,Cena detal / m2,Link,Photo,50,m2
Lux,Podłoga,Podłoga,Winyl jódełka,Arbiton,Arbiton Amaron Chevron - DĄB MENOR - 5mm/0.55mm,,,,,,"161,78",https://arbiton.com/pl/panele-winylowe/panele-winylowe-na-klik/panele-winylowe-arbiton-amaron-chevron-dab-menor-5mm-0-55mm,,,
Lux,Podłoga,Podłoga,Winyl jódełka,Arbiton,Arbiton Amaron Chevron - DĄB ROCHESTER - 5mm/0.55mm,,,,,,"161,78",https://arbiton.com/pl/panele-winylowe/panele-winylowe-na-klik/panele-winylowe-arbiton-amaron-chevron-dab-rochester-5mm-0-55mm,,,
Lux,Podłoga,Podłoga,Winyl jódełka,Arbiton,Arbiton Amaron Chevron - DĄB JOHANNES - 5mm/0.55mm,,,,,,"161,78",https://arbiton.com/pl/panele-winylowe/panele-winylowe-na-klik/panele-winylowe-arbiton-amaron-chevron-dab-johannes-5mm-0-55mm,,,
Lux,Podłoga,Podłoga,Winyl prosty,Arbiton,Arbiton Amaron Wood - DĄB HARLOW- 5mm/0.55mm,,,,,,"137,39",https://arbiton.com/pl/panele-winylowe-arbiton-amaron-wood-dab-harlow-5mm-0-55mm,,,
Lux,Podłoga,Podłoga,Winyl prosty,Arbiton,Dąb Menor CAS 223 Klasa 33 5 mm - prosta deska,,,,,,"137,39","https://bel-pol.pl/podloga-winylowa/arbiton/panele-winylowe-spc-lvt-dab-menor-cas-223-5905167856437,p22937,32.html",,,
Lux,Podłoga,Podłoga,Winyl prosty,Arbiton,Dąb Rochester CAS 229 Klasa 33 5 mm - prosta deska,,,,,,"137,39","https://bel-pol.pl/podloga-winylowa/arbiton/panele-winylowe-spc-lvt-dab-rochester-cas-229-5905167856499,p22943,32.html",,,
Lux,Podłoga,Podłoga,Winyl prosty,Arbiton,Dąb Johannes CAS 222 Klasa 33 5 mm - prosta deska,,,,,,"137,39","https://bel-pol.pl/podloga-winylowa/arbiton/panele-winylowe-spc-lvt-dab-johannes-cas-222-5905167856420,p22936,32.html",,,
Lux,Podłoga,Podłoga,"Podkład (klej, grunt)",Podkład,Grunt Tec Primer D 5kg. 1op.= ok. 33m2,,,,,"252,03","7,64",,,,
Lux,Podłoga,Podłoga,"Podkład (klej, grunt)",Podkład,Klej Tec Spu 15 18kg. 1op.= ok. 15m2,,,,,"568,29","37,89",,,,
Budget,Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,Salag,Bravo Biała 201,,,,"18,73","15,23","10,15","https://bel-pol.pl/listwy-przypodlogowe/salag/listwa-przypodlogowa-bravo-80-mm-kaszmir-2,4m-br81f4,p24745,14.html",,,
Budget,Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,Salag,Bravo Szara 203,,,,"16,63","13,52","9,01","https://bel-pol.pl/listwy-przypodlogowe/salag/listwa-przypodlogowa-ps-bravo-80-mm-szara-203-br81u2,p23117,14.html",,,
Budget,Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,Salag,Bravo Kaszmir,,,,"18,73","15,23","10,15","https://bel-pol.pl/listwy-przypodlogowe/salag/listwa-przypodlogowa-bravo-80-mm-kaszmir-2,4m-br81f4,p24745,14.html",,,
Budget,Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,Salag,Bravo Czarna 207,,,,"18,73","15,23","10,15","https://bel-pol.pl/listwy-przypodlogowe/salag/listwa-przypodlogowa-ps-bravo-80-mm-czarna-207-br81u3,p23118,14.html",,,
